Internal ID,External ID,Source
rxn00646,GLUCYS,BiGG
rxn00646,GLUCYSL,BiGG
rxn00646,GSH1,BiGG
rxn00647,ASPTA4,BiGG
rxn00647,R00896,BiGG
rxn00649,CYSS,BiGG
rxn00649,CYSSr,BiGG
rxn00649,YGR012W,BiGG
rxn00650,AMPTASECG,BiGG
rxn00650,TRIA,BiGG
rxn00653,ALDD22x,BiGG
rxn00654,UPPN,BiGG
rxn00656,APATr,BiGG
rxn00656,BALAAT,BiGG
rxn00669,ACCOAL,BiGG
rxn00669,ACCOAL2r,BiGG
rxn00670,PTA2,BiGG
rxn00670,PTA2r,BiGG
rxn00670,PTAr_ppa,BiGG
rxn00671,MMSAD1,BiGG
rxn00671,MMTSAO,BiGG
rxn00672,MMCD,BiGG
rxn00674,ACS2,BiGG
rxn00676,ACACT10rr,BiGG
rxn00676,ACOACAT,BiGG
rxn00676,MACCOAT,BiGG
rxn00679,MCITS,BiGG
rxn00679,MCITSm,BiGG
rxn00686,DFR1_1,BiGG
rxn00686,DFR1_2,BiGG
rxn00686,DHFR,BiGG
rxn00686,DHFRi,BiGG
rxn00686,DHFRim,BiGG
rxn00689,FOL3,BiGG
rxn00689,MET7,BiGG
rxn00689,RMA1,BiGG
rxn00689,THFGLUS,BiGG
rxn00690,ADE3_2,BiGG
rxn00690,FTHFL,BiGG
rxn00690,FTHFLi,BiGG
rxn00690,FTHFLm,BiGG
rxn00690,FTHFLmi,BiGG
rxn00690,MIS1_2,BiGG
rxn00691,FTHFD,BiGG
rxn00692,GHMT,BiGG
rxn00692,GHMT2,BiGG
rxn00692,GHMT2r,BiGG
rxn00692,GHMT2rm,BiGG
rxn00692,SHM1,BiGG
rxn00692,SHM2,BiGG
rxn00693,METS,BiGG
rxn00693,METSMHPGLUT_b,BiGG
rxn00693,METSr,BiGG
rxn00693,MTHFB12D,BiGG
rxn00693,U47,BiGG
rxn00695,GLGC,BiGG
rxn00695,GLGCr,BiGG
rxn00701,GAL7_2,BiGG
rxn00701,UGLT,BiGG
rxn00702,CDPGLU,BiGG
rxn00704,PGM1_2,BiGG
rxn00704,PGM2_2,BiGG
rxn00704,PGMT,BiGG
rxn00707,CYTDK3,BiGG
rxn00708,NTD2,BiGG
rxn00708,NTD2pp,BiGG
rxn00708,U34,BiGG
rxn00709,URIK1,BiGG
rxn00709,URK1_3,BiGG
rxn00710,OMPDC,BiGG
rxn00710,URA3,BiGG
rxn00711,FUR1,BiGG
rxn00711,UPPRT,BiGG
rxn00711,UPPRTr,BiGG
rxn00713,URIK2,BiGG
rxn00713,URK1_1,BiGG
rxn00715,URIK3,BiGG
rxn00717,CSND,BiGG
rxn00717,FCY1,BiGG
rxn00720,DURAD,BiGG
rxn00726,ANS2,BiGG
rxn00727,ANS,BiGG
rxn00727,ANS1,BiGG
rxn00727,TRP2_1,BiGG
rxn00727,TRP3_1,BiGG
rxn00728,KYN,BiGG
rxn00728,KYNASE2,BiGG
rxn00728,YLR231C_1,BiGG
rxn00737,CHA1_1,BiGG
rxn00737,ILV1,BiGG
rxn00737,THRD_L,BiGG
rxn00737,THRD_Lm,BiGG
rxn00737,THRD_Lr,BiGG
rxn00740,SHSL4,BiGG
rxn00740,SHSL4r,BiGG
